2026-04-08 09:07:36,076 INFO App mode selected | {'bulk_mode': False}
2026-04-08 09:07:40,131 INFO App mode selected | {'bulk_mode': False}
2026-04-08 09:07:43,283 INFO App mode selected | {'bulk_mode': False}
2026-04-08 09:07:43,283 INFO Single-file processing requested | {'revenue_file': 'Revenue_export_07-04-2026_13-59.csv', 'revenue_size_bytes': 25597, 'devices_file': 'Devices_export_07-04-2026_13_58.csv', 'devices_size_bytes': 2451}
2026-04-08 09:07:43,283 INFO Reading input file | {'file_name': 'Revenue_export_07-04-2026_13-59.csv', 'file_size_bytes': 25597}
2026-04-08 09:07:43,283 INFO Trying CSV parser | {'file_name': 'Revenue_export_07-04-2026_13-59.csv', 'mode': 'pandas', 'options': {'encoding': 'utf-8-sig'}}
2026-04-08 09:07:43,287 INFO CSV file loaded successfully | {'file_name': 'Revenue_export_07-04-2026_13-59.csv', 'rows': 162, 'columns': ['TransactionID', 'Device', 'StationName', 'Start', 'End', 'Organisation', 'Connector', 'Total_Energy (kWh)', 'Collected_fee', 'PR_Transaction_fee', 'Repayment', 'MPAN']}
2026-04-08 09:07:43,290 INFO Reading input file | {'file_name': 'Devices_export_07-04-2026_13_58.csv', 'file_size_bytes': 2451}
2026-04-08 09:07:43,290 INFO Trying CSV parser | {'file_name': 'Devices_export_07-04-2026_13_58.csv', 'mode': 'pandas', 'options': {'encoding': 'utf-8-sig'}}
2026-04-08 09:07:43,291 WARNING CSV parser attempt failed | {'file_name': 'Devices_export_07-04-2026_13_58.csv', 'mode': 'pandas', 'options': {'encoding': 'utf-8-sig'}, 'error': 'Error tokenizing data. C error: Expected 21 fields in line 3, saw 25\n'}
2026-04-08 09:07:43,292 INFO Trying CSV parser | {'file_name': 'Devices_export_07-04-2026_13_58.csv', 'mode': 'pandas', 'options': {'encoding': 'utf-8-sig', 'sep': None, 'engine': 'python'}}
2026-04-08 09:07:43,300 WARNING CSV parser attempt failed | {'file_name': 'Devices_export_07-04-2026_13_58.csv', 'mode': 'pandas', 'options': {'encoding': 'utf-8-sig', 'sep': None, 'engine': 'python'}, 'error': 'Expected 21 fields in line 3, saw 25'}
2026-04-08 09:07:43,300 INFO Trying CSV parser | {'file_name': 'Devices_export_07-04-2026_13_58.csv', 'mode': 'pandas', 'options': {'encoding': 'cp1252'}}
